Module,Depends on User Story ID,Requirement ID,,User Story,,Notes,,
,,,As a,I want to,So that,,,
user registration and login,,1,"student,admin,instructor,employer",create an account using my credentials,I can securely access the platform and its features,,,
user registration and login,1,2,"student,admin,instructor,employer",log in with credentials, I can access my account,,,
user registration and login,1,3,"student,admin,instructor,employer", reset my password,            I can regain access if I forget it,,,
user registration and login,1,4,"student,admin,instructor,employer",  verify my email , my account is authenticated,,,
user registration and login,2,5,"student,admin,instructor,employer",log out securely,my account stays secure,,,
admin and platform management,2,6,"student,instructor,employer",report inappropriate content,the platform remains professional,"reports may include spam, plagiarism, or offensive content and should be reviewed by an admin",,
admin and platform management,6,7,admin, review the reported content,if something is inappropriate i will remove it ,suspend the account,,
user portfolio creation and management,2,8,student,link my GitHub and LinkedIn profile,"employers can viewers can inspect the code to see my repositories and view my professional background, and i can easily share my project link,viewers can try the application",,,
portfolio search and filtration,2,9,employer ,view and inspect students code,i can hire/ recruit more employees ,,,
user portfolio creation and management,8,10,"student,admin,instructor,employer",mange my account details  ,i can update and delete account detials ,,,
project creation and submission,8,11,student ,create my project,upload demo video upload documents ,,,
project creation and submission,11,12,student,classify a project as either course?related or a bachelor thesis,it is categorized correctly,,,
project search and filtration,11,13,student,download publicly shared project resources,I can study or learn from the work,"downloads may include thesis files, research papers, or documentation",,
user portfolio creation and management,8,14,student,control profile and portfolio visibility,I can manage who sees my information,"Visibility options could be public, private, or restricted to certain groups",,
admin and platform management,2,15,admin,verify employer registrations before approval,I prevent fake recruiters,,,
instructor/collaborator assignment,11,16,student,see my project supervisors,I know who reviews my work,,,
instructor/collaborator assignment,16,17,student,add or remove collaborators from my project,control the participant's in my team,collaborators may have different permissions (edit/view),,
instructor/collaborator assignment,16,18,instructor,accept or reject project invitations,i can control my participation in projects,,,
instructor/collaborator assignment,16,19,instructor,view projects assigned to my course ,i can keep track of student progress,,,
instructor/collaborator assignment,16,20,instructor,view the list of students working on a project ,i can understand each participant's involvement,,,
feedback and review workflow,11,21,student,see comments from my instructor,I understand required changes,,,
feedback and review workflow,21,22,student,mark feedback as resolved,the workflow stays organized,,,
project creation and submission,11,23,student,track edits or recover older versions of a project,I can review previous updates and understand how the project evolved,,,
project creation and submission,23,24,student,edit my project after recieving feedback ,i can improve it's quality,"includes updating description, links, or collaborators",,
feedback and review workflow,21,25,instructor,provide feedback on student projects ,students can improve their work,feedback may include comments or review status,,
user portfolio creation and management,8,26,instructor,access student portofolios ,i can see their previous work and experience,,,
feedback and review workflow,21,27,instructor,approve the final project,it can be published and graded,,,
project creation and submission,11,28,instructor,view submitted projects ,I know when changes occur,,,
project creation and submission,28,29,student,keep my projects private,only instructors can access it throughout it's development,,,
project search and filtration,11,30,"student,admin,instructor,employer",sort projects using multiple sorting options,I can quickly find projects in the order I prefer,"relevance, popularity, or date",,
project search and filtration,30,31,employer ,view technologies used in a project,i can understand the students technical skills,,,
project search and filtration,30,32,employer ,view project description,i can undertsand it's functionality,,,
user portfolio creation and management,8,33,employer ,save student portolios,revisit their profiles later as ,,,
notifications,21,34,student,receive notifications in mail or in app when feedback is added,I stay updated and make changes according to feedback,project is approved/rejected,,
notifications,21,35,instructor,receive notifications in mail or in app when project content changes,i can stay updated ,,,
notifications,21,36,employer,receive notifications in mail or in app when a student responds to my  message,we can stay in contact,,,
notifications,21,37,admin,"I want to receive notifications in mail or in app when new users register, when inappropriate content is reported, and when important system activities occur", I can monitor the platform and take the necessary administrative actions,,,
messaging and communication,2,38,employer ,contact a student,i can discuss job opportunities,,,
project search and filtration,30,39,employer ,watch project demos,see how systems work,,,
user portfolio creation and management,8,40,student,follow other student's portofolios,i can stay updated with their new projects and achievements,,,
project search and filtration,30,41,student,browse for specific project by keywords ,I quickly find specific topics and explore others work,,,
user portfolio creation and management,8,42,student,create a portfolio,I can showcase my projects,,,
project search and filtration,30,43,"Student, Admin, Instructor, Employer","As a user, I want to filter projects and portfolios so that I can easily find relevant projects and candidates."," by course or project type ,technologies or frameworks used, students and portfolios by skills or graduation year to find suitable candidates",,,
portfolio search and filtration,9,44,employer ,view student's last login date,i reach out to active users,,,
project creation and submission,28,45,student,"I want to upload and manage complete project information including description, demo videos, repository links, and visibility settings",viewers can the the interfaceand the project working ,,,
project search and filtration,30,46,student,bookmark interesting projects,i can easily find them later,,,
messaging and communication,38,47,employer,message students through the platform,I discuss opportunities directly,,,
admin and platform management,6,48,admin,set default privacy rules for projects,student work is protected,,,
admin and platform management,6,49,admin,verify employer registrations before approval,I prevent fake recruiters from accessing the platform,,,
data management and backup,2,50,"student,admin,instructor,employer",I want my project data to be stored automatically,I do not lose progress,,,
data management and backup,50,51,admin, restore system data from backups ,the platform can recover after failures,,,
data management and backup,50,52,admin, monitor system logs ,I can detect and fix issues quickly,,,
data management and backup,50,53,admin, system to support modular components ,new features can be added easily,,,
feedback and review workflow,21,54,"student,admin,instructor,employer",comment on projects ,i can discuss ideas with others,,,
project creation and submission,28,55,student,upload screenshots and a demo video,viewers can see the interface and see the project working,File size limits and supported formats need to be defined,,
project creation and submission,28,56,student,save a project as draft,I can come back later and finish it,Drafts should be private and clearly marked as incomplete,,
project creation and submission,28,57,student,"edit , delete, submit project information","updates can be made, outdated work can be removed,it becomes available for review",,,
project search and filtration,30,58,student,"access and download bachelor projects ,read the full description",i have a complete academic and technical picture of the work in one place,,,
